"","Kind","1","2","3","4","5","6","7"
"1","abstract concept","0.08 [0.04 - 0.18]","0.12 [0.06 - 0.2]","0.15 [0.09 - 0.2]","0.18 [0.14 - 0.22]","0.2 [0.14 - 0.24]","0.14 [0.07 - 0.21]","0.12 [0.06 - 0.24]"
"2","artifact","0.02 [0.01 - 0.05]","0.04 [0.02 - 0.08]","0.06 [0.03 - 0.12]","0.11 [0.06 - 0.17]","0.19 [0.13 - 0.24]","0.22 [0.18 - 0.26]","0.35 [0.18 - 0.54]"
"3","control precise definition","0 [0 - 0.02]","0.01 [0 - 0.03]","0.01 [0 - 0.05]","0.02 [0.01 - 0.09]","0.06 [0.02 - 0.17]","0.13 [0.04 - 0.23]","0.76 [0.43 - 0.93]"
"4","control subjective adjective","0.18 [0.05 - 0.46]","0.19 [0.08 - 0.27]","0.18 [0.1 - 0.22]","0.16 [0.08 - 0.21]","0.14 [0.05 - 0.23]","0.07 [0.02 - 0.18]","0.06 [0.01 - 0.18]"
"5","natural kind","0.01 [0 - 0.02]","0.02 [0.01 - 0.04]","0.03 [0.01 - 0.06]","0.06 [0.03 - 0.11]","0.13 [0.07 - 0.2]","0.21 [0.14 - 0.25]","0.54 [0.34 - 0.72]"
