"","Kind","both","is","is_not"
"1","abstract concept","0.47 [0.33 - 0.61]","0.21 [0.1 - 0.36]","0.31 [0.16 - 0.5]"
"2","artifact","0.33 [0.2 - 0.48]","0.15 [0.07 - 0.3]","0.51 [0.32 - 0.69]"
"3","control check","0.21 [0.1 - 0.38]","0.23 [0.07 - 0.5]","0.54 [0.26 - 0.79]"
"4","control precise definition","0.02 [0 - 0.09]","0.03 [0 - 0.15]","0.95 [0.79 - 0.99]"
"5","control subjective adjective","0.81 [0.57 - 0.93]","0.17 [0.06 - 0.41]","0.01 [0 - 0.07]"
"6","natural kind","0.27 [0.15 - 0.43]","0.09 [0.03 - 0.19]","0.64 [0.43 - 0.8]"
